"Sottosistema","Unita","Riferimenti","Classificazione","CandidatiTrovati","PercorsiCandidati","PercorsoEsplicitoEsempio"
"CanaliAria","Main","1","Ambigua: piu copie omonime","27","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\MAIN.PAS | C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\UTILS\MAIN.PAS | C:\DOCUMENTI\sd\sorgenti\bm-sd\GLScene\Demos\materials\multitexture\Main.pas | C:\DOCUMENTI\sd\sorgenti\bm-sd\GLScene\Demos\specialsFX\shadows\Main.pas | C:\DOCUMENTI\sd\sorgenti\bm-sd\glscene 1.1 marzo 2011\AdvDemos\PakEdit\Main.pas | C:\DOCUMENTI\sd\sorgenti\bm-sd\glscene 1.1 marzo 2011\Demos\interface\CameraController\Main.pas | C:\DOCUMENTI\sd\sorgenti\bm-sd\glscene 1.1 marzo 2011\Demos\materials\multitexture\Main.pas | C:\DOCUMENTI\sd\sorgenti\bm-sd\glscene 1.1 marzo 2011\Demos\scripting\glscript\main.pas | C:\DOCUMENTI\sd\sorgenti\bm-sd\glscene 1.1 marzo 2011\Demos\specialsFX\shadows\Main.pas | C:\DOCUMENTI\sd\sorgenti\bm-sd\glscene 1.1 marzo 2011\Demos\utilities\ArchiveEdit\Main.pas | C:\DOCUMENTI\sd\sorgenti\bm-sd\glscene 1.1 marzo 2011\Demos\utilities\ArchiverDemo\main.pas | C:\DOCUMENTI\sd\sorgenti\bm-sd\glscene 1.1 marzo 2011\Demos\utilities\fontgen\main.pas | C:\DOCUMENTI\sd\sorgenti\bm-sd\glscene 1.1 marzo 2011\DemosLCL\interface\CameraController\Main.pas | C:\DOCUMENTI\sd\sorgenti\bm-sd\glscene 1.1 marzo 2011\DemosLCL\materials\multitexture\Main.pas | C:\DOCUMENTI\sd\sorgenti\bm-sd\glscene 1.1 marzo 2011\DemosLCL\specialsFX\shadows\Main.pas | C:\DOCUMENTI\sd\sorgenti\bm-sd\glscene 1.1 marzo 2011\DemosLCL\utilities\ArchiveEdit\Main.pas | C:\DOCUMENTI\sd\sorgenti\bm-sd\glscene 1.1 marzo 2011\DemosLCL\utilities\ArchiverDemo\Main.pas | C:\DOCUMENTI\sd\sorgenti\bm-sd\glscene 1.1 marzo 2011\DemosLCL\utilities\fontgen\main.pas | C:\DOCUMENTI\sd\sorgenti\bm-sd\glscene 1.1 marzo 2011\Utilities\PakEdit\Main.pas | C:\DOCUMENTI\sd\sorgenti\bm-sd\glscene2007\Demos\materials\multitexture\Main.pas | C:\DOCUMENTI\sd\sorgenti\bm-sd\glscene2007\Demos\scripting\glscript\main.pas | C:\DOCUMENTI\sd\sorgenti\bm-sd\glscene2007\Demos\specialsFX\shadows\Main.pas | C:\DOCUMENTI\sd\sorgenti\bm-sd\glscene2007\Demos\utilities\fontgen\main.pas | C:\DOCUMENTI\sd\sorgenti\bm-sd\glscene2007\Utilities\PakEdit\Main.pas | C:\DOCUMENTI\sd\sorgenti\bm-sd\rx\Demos\Dbexpl32\Main.pas | C:\DOCUMENTI\sd\sorgenti\bm-sd\rx\Demos\Dbexplor\Main.pas | C:\DOCUMENTI\sd\sorgenti\bm-sd\rx\Demos\Rxdemo\Main.pas","MAIN.PAS"
"CanaliAria","pezzi","1","Ambigua: piu copie omonime","2","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\PEZZI.PAS | C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\INPGRAF\PEZZI.PAS",
"CanaliAria","stampe","1","Ambigua: piu copie omonime","12","C:\DOCUMENTI\bmsistemi\drivep\prjs\cpi win clima\Versione_10\DllPrincipaleTermico\forms\Stampe.pas | C:\DOCUMENTI\bmsistemi\drivep\prjs\cpi win clima\Versione_10\DllPrincipaleTermico\Form_12\Stampe.pas | C:\DOCUMENTI\bmsistemi\drivep\prjs\cpi win clima\Versione_10\Tubi\STAMPE.PAS | C:\DOCUMENTI\bmsistemi\drivep\prjs\cpi win clima\Versione_10\Tubi\oldTubi\grafo\GTUBI\STAMPE.PAS | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10\DllPrincipaleTermico\forms\Stampe.pas | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10\DllPrincipaleTermico\Form_12\Stampe.pas | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 nuova\DllPrincipaleTermico\forms\Stampe.pas | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 nuova\DllPrincipaleTermico\Form_12\Stampe.pas | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 nuova\Tubi\oldTubi\grafo\GTUBI\STAMPE.PAS | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 ripristinata\DllPrincipaleTermico\forms\Stampe.pas | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 ripristinata\DllPrincipaleTermico\Form_12\Stampe.pas | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 ripristinata\Tubi\oldTubi\grafo\GTUBI\STAMPE.PAS",
"CanaliAria","udbt","1","Ambigua: piu copie omonime","15","C:\DOCUMENTI\sd\sorgenti\bm-sd\GENERA\gestione\generati\UDBT.pas | C:\DOCUMENTI\sd\sorgenti\bm-sd\gestioneclienti\generati\UDBT.pas | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10\3D\GENERATI\UDBT.pas | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10\3D\GENERATI vecchio\UDBT.pas | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10\AggiornamentiV13\Carichi\database\GENERATI\UDBT.pas | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10\Copia di 3D\GENERATI\UDBT.pas | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10\progetto test con multitabelle\GENERATI\UDBT.pas | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 nuova\AggiornamentiV13\Carichi\database\GENERATI\UDBT.pas | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 nuova\Copia di 3D\GENERATI\UDBT.pas | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 nuova\progetto test con multitabelle\GENERATI\UDBT.pas | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 ripristinata\3D\GENERATI\UDBT.pas | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 ripristinata\3D\GENERATI vecchio\UDBT.pas | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 ripristinata\AggiornamentiV13\Carichi\database\GENERATI\UDBT.pas | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 ripristinata\Copia di 3D\GENERATI\UDBT.pas | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 ripristinata\progetto test con multitabelle\GENERATI\UDBT.pas",
"CanaliAria","uleggiscrividati","1","Ambigua: piu copie omonime","26","C:\DOCUMENTI\sd\sorgenti\bm-sd\GENERA\gestione\generati\ULeggiscriviDati.pas | C:\DOCUMENTI\sd\sorgenti\bm-sd\gestioneclienti\generati\ULeggiscriviDati.pas | C:\DOCUMENTI\sd\sorgenti\bm-sd\Sun-Trace\generati\ULeggiscriviDati.pas | C:\DOCUMENTI\bmsistemi\drivep\prjs\cpi win clima\Versione_10\AggiornamentiV13\Carichi\database\GENERATI\ULeggiscriviDati.pas | C:\DOCUMENTI\bmsistemi\drivep\prjs\cpi win clima\Versione_10\CARICHI\database\GENERATI\ULeggiscriviDati.pas | C:\DOCUMENTI\bmsistemi\drivep\prjs\cpi win clima\Versione_10\Tubi\database generati\Generati\ULeggiscriviDati.pas | C:\DOCUMENTI\bmsistemi\drivep\prjs\cpi win clima\Versione_10 allineamento con emanuela\GENERATI\ULeggiscriviDati.pas | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10\3D\GENERATI\ULeggiscriviDati.pas | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10\3D\GENERATI\climaenergia\ULeggiscriviDati.pas | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10\3D\GENERATI vecchio\ULeggiscriviDati.pas | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10\AggiornamentiV13\Carichi\database\GENERATI\ULeggiscriviDati.pas | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10\CARICHI\database\GENERATI\ULeggiscriviDati.pas | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10\Copia di 3D\GENERATI\ULeggiscriviDati.pas | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10\progetto test con multitabelle\GENERATI\uleggiscrividati.pas | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 nuova\AggiornamentiV13\Carichi\database\GENERATI\ULeggiscriviDati.pas | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 nuova\CARICHI\database\GENERATI\ULeggiscriviDati.pas | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 nuova\Copia di 3D\GENERATI\ULeggiscriviDati.pas | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 nuova\progetto test con multitabelle\GENERATI\uleggiscrividati.pas | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 nuova\Tubi\database generati\Generati\ULeggiscriviDati.pas | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 ripristinata\3D\GENERATI\ULeggiscriviDati.pas | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 ripristinata\3D\GENERATI vecchio\ULeggiscriviDati.pas | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 ripristinata\AggiornamentiV13\Carichi\database\GENERATI\ULeggiscriviDati.pas | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 ripristinata\CARICHI\database\GENERATI\ULeggiscriviDati.pas | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 ripristinata\Copia di 3D\GENERATI\ULeggiscriviDati.pas | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 ripristinata\progetto test con multitabelle\GENERATI\uleggiscrividati.pas | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 ripristinata\Tubi\database generati\Generati\ULeggiscriviDati.pas",
"CanaliAria","uoggetti","3","Ambigua: piu copie omonime","3","C:\DOCUMENTI\sd\sorgenti\bm-sd\3dCAD\Uoggetti.pas | C:\DOCUMENTI\sd\sorgenti\bm-sd\3dCAD_14\Uoggetti.pas | C:\DOCUMENTI\sd\sorgenti\bm-sd\Copia di 3dCAD\Uoggetti.pas",
"CanaliAria","utilitie","10","Ambigua: piu copie omonime","8","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\Utilitie.pas | C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\UTILS\UTILITIE.PAS | C:\DOCUMENTI\bmsistemi\drivep\prjs\cpi win clima\Versione_10\Tubi\oldTubi\CONVERTI\UTILITIE.PAS | C:\DOCUMENTI\bmsistemi\drivep\prjs\cpi win clima\Versione_10\Tubi\oldTubi\grafo\GTUBI\UTILITIE.PAS | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 nuova\Tubi\oldTubi\CONVERTI\UTILITIE.PAS | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 nuova\Tubi\oldTubi\grafo\GTUBI\UTILITIE.PAS | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 ripristinata\Tubi\oldTubi\CONVERTI\UTILITIE.PAS | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 ripristinata\Tubi\oldTubi\grafo\GTUBI\UTILITIE.PAS",
"CanaliAria","utireport","1","Ambigua: piu copie omonime","5","C:\DOCUMENTI\bmsistemi\drivep\prjs\cpi win clima\Versione_10\comuni\report\Utireport.pas | C:\DOCUMENTI\bmsistemi\drivep\prjs\cpi win clima\Versione_10 allineamento con emanuela\comuni\report\Utireport.pas | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10\comuni\report\Utireport.pas | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 nuova\comuni\report\Utireport.pas | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 ripristinata\comuni\report\Utireport.pas",
"CanaliAria","varcarichi","2","Ambigua: piu copie omonime","9","C:\DOCUMENTI\sd\sorgenti\bm-sd\GENERA\distribuzione\Varcarichi.pas | C:\DOCUMENTI\sd\sorgenti\bm-sd\GENERA\gestione\Varcarichi.pas | C:\DOCUMENTI\sd\sorgenti\bm-sd\gestioneclienti\generati\Varcarichi.pas | C:\DOCUMENTI\sd\sorgenti\bm-sd\Sun-Trace\Varcarichi.pas | C:\DOCUMENTI\bmsistemi\drivep\prjs\cpi win clima\Versione_10\CARICHI\varcarichi.pas | C:\DOCUMENTI\bmsistemi\drivep\prjs\cpi win clima\Versione_10 allineamento con emanuela\CARICHI\VarCarichi.pas | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10\CARICHI\varcarichi.pas | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 nuova\CARICHI\varcarichi.pas | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 ripristinata\CARICHI\varcarichi.pas",
"CanaliAria","wp","1","Ambigua: piu copie omonime","9","C:\DOCUMENTI\bmsistemi\drivep\prjs\cpi win clima\Versione_10\Tubi\oldTubi\WP.PAS | C:\DOCUMENTI\bmsistemi\drivep\prjs\cpi win clima\Versione_10\Tubi\oldTubi\INPGRAF\WP.PAS | C:\DOCUMENTI\bmsistemi\drivep\prjs\cpi win clima\Versione_10\Tubi\oldTubi\INPGRAF\TUBISPIR\WP.PAS | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 nuova\Tubi\oldTubi\WP.PAS | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 nuova\Tubi\oldTubi\INPGRAF\WP.PAS | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 nuova\Tubi\oldTubi\INPGRAF\TUBISPIR\WP.PAS | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 ripristinata\Tubi\oldTubi\WP.PAS | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 ripristinata\Tubi\oldTubi\INPGRAF\WP.PAS | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 ripristinata\Tubi\oldTubi\INPGRAF\TUBISPIR\WP.PAS",
"CanaliAria","Buttons","13","Piattaforma Delphi/Turbo Pascal","0","",
"CanaliAria","bwcc","9","Piattaforma Delphi/Turbo Pascal","0","",
"CanaliAria","Classes","33","Piattaforma Delphi/Turbo Pascal","0","",
"CanaliAria","ComCtrls","3","Piattaforma Delphi/Turbo Pascal","0","",
"CanaliAria","commdlg","1","Piattaforma Delphi/Turbo Pascal","0","",
"CanaliAria","Controls","29","Piattaforma Delphi/Turbo Pascal","0","",
"CanaliAria","DB","7","Piattaforma Delphi/Turbo Pascal","0","",
"CanaliAria","DBCtrls","3","Piattaforma Delphi/Turbo Pascal","0","",
"CanaliAria","DBGrids","3","Piattaforma Delphi/Turbo Pascal","0","",
"CanaliAria","dialogs","32","Piattaforma Delphi/Turbo Pascal","0","",
"CanaliAria","ExtCtrls","17","Piattaforma Delphi/Turbo Pascal","0","",
"CanaliAria","FileCtrl","1","Piattaforma Delphi/Turbo Pascal","0","",
"CanaliAria","Forms","50","Piattaforma Delphi/Turbo Pascal","0","",
"CanaliAria","Graphics","29","Piattaforma Delphi/Turbo Pascal","0","",
"CanaliAria","Grids","5","Piattaforma Delphi/Turbo Pascal","0","",
"CanaliAria","math","1","Piattaforma Delphi/Turbo Pascal","0","",
"CanaliAria","Menus","7","Piattaforma Delphi/Turbo Pascal","0","",
"CanaliAria","Messages","38","Piattaforma Delphi/Turbo Pascal","0","",
"CanaliAria","ostddlgs","3","Piattaforma Delphi/Turbo Pascal","0","",
"CanaliAria","PRINTER","15","Piattaforma Delphi/Turbo Pascal","0","",
"CanaliAria","printers","2","Piattaforma Delphi/Turbo Pascal","0","",
"CanaliAria","StdCtrls","23","Piattaforma Delphi/Turbo Pascal","0","",
"CanaliAria","strings","32","Piattaforma Delphi/Turbo Pascal","0","",
"CanaliAria","SysUtils","53","Piattaforma Delphi/Turbo Pascal","0","",
"CanaliAria","tabnotbk","1","Piattaforma Delphi/Turbo Pascal","0","",
"CanaliAria","types","1","Piattaforma Delphi/Turbo Pascal","0","",
"CanaliAria","Variants","7","Piattaforma Delphi/Turbo Pascal","0","",
"CanaliAria","win31","3","Piattaforma Delphi/Turbo Pascal","0","",
"CanaliAria","winapi","4","Piattaforma Delphi/Turbo Pascal","0","",
"CanaliAria","Wincrt","17","Piattaforma Delphi/Turbo Pascal","0","",
"CanaliAria","WinDos","8","Piattaforma Delphi/Turbo Pascal","0","",
"CanaliAria","Windows","12","Piattaforma Delphi/Turbo Pascal","0","",
"CanaliAria","WINPRN","1","Piattaforma Delphi/Turbo Pascal","0","",
"CanaliAria","WinProcs","65","Piattaforma Delphi/Turbo Pascal","0","",
"CanaliAria","DBLookup","1","Sorgente non individuato","0","",
"CanaliAria","def_win","12","Sorgente non individuato","0","",
"CanaliAria","do","1","Sorgente non individuato","0","",
"CanaliAria","graph","34","Sorgente non individuato","0","",
"CanaliAria","igrograf","1","Sorgente non individuato","0","",
"CanaliAria","indata","2","Sorgente non individuato","0","",
"CanaliAria","Libc","1","Sorgente non individuato","0","",
"CanaliAria","Main_pr","2","Sorgente non individuato","0","",
"CanaliAria","main_res","6","Sorgente non individuato","0","",
"CanaliAria","main_win","3","Sorgente non individuato","0","",
"CanaliAria","MFileC","1","Sorgente non individuato","0","",
"CanaliAria","misureg","1","Sorgente non individuato","0","",
"CanaliAria","mmsystem","1","Sorgente non individuato","0","",
"CanaliAria","MPlayer","1","Sorgente non individuato","0","",
"CanaliAria","multilin","7","Sorgente non individuato","0","",
"CanaliAria","OMemory","2","Sorgente non individuato","0","",
"CanaliAria","OPrinter","1","Sorgente non individuato","0","",
"CanaliAria","OStdWnds","1","Sorgente non individuato","0","",
"CanaliAria","overlay","1","Sorgente non individuato","0","",
"CanaliAria","read_c","1","Sorgente non individuato","0","",
"CanaliAria","rinnova","1","Sorgente non individuato","0","",
"CanaliAria","Spin","1","Sorgente non individuato","0","",
"CanaliAria","Tabs","1","Sorgente non individuato","0","",
"CanaliAria","texter","2","Sorgente non individuato","0","",
"CanaliAria","TIPIDUCT","2","Sorgente non individuato","0","",
"CanaliAria","U_WCart","1","Sorgente non individuato","0","",
"CanaliAria","U_Wduct","1","Sorgente non individuato","0","",
"CanaliAria","u_winput","5","Sorgente non individuato","0","",
"CanaliAria","ut_funz","1","Sorgente non individuato","0","",
"CanaliAria","ut_loca","1","Sorgente non individuato","0","",
"CanaliAria","Ut_loca1","2","Sorgente non individuato","0","",
"CanaliAria","uti_flf","1","Sorgente non individuato","0","",
"CanaliAria","utiwindlg","1","Sorgente non individuato","0","",
"CanaliAria","validate","8","Sorgente non individuato","0","",
"CanaliAria","win_uti","3","Sorgente non individuato","0","",
"CanaliAria","winD_menu","1","Sorgente non individuato","0","",
"CarichiTermici","Calcoli","4","Ambigua: piu copie omonime","9","C:\DOCUMENTI\bmsistemi\drivep\prjs\cpi win clima\Versione_10\CARICHI\calcoli\estivo\Calcoli.pas | C:\DOCUMENTI\bmsistemi\drivep\prjs\cpi win clima\Versione_10\CARICHI\calcoli\estivo13\Calcoli.pas | C:\DOCUMENTI\bmsistemi\drivep\prjs\cpi win clima\Versione_10 allineamento con emanuela\CARICHI\calcoli\estivo\Calcoli.pas | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10\allineamento emanuela\CodiciEstivo\Versione_10\CARICHI\calcoli\estivo\Calcoli.pas | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10\CARICHI\calcoli\estivo\Calcoli.pas | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 nuova\allineamento emanuela\CodiciEstivo\Versione_10\CARICHI\calcoli\estivo\Calcoli.pas | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 nuova\CARICHI\calcoli\estivo\Calcoli.pas | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 ripristinata\allineamento emanuela\CodiciEstivo\Versione_10\CARICHI\calcoli\estivo\Calcoli.pas | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 ripristinata\CARICHI\calcoli\estivo\Calcoli.pas",
"CarichiTermici","CopiaLibreriaGenerale","5","Ambigua: piu copie omonime","10","C:\DOCUMENTI\sd\sorgenti\bm-sd\estivo\copiaLibreriaGenerale.pas | C:\DOCUMENTI\sd\sorgenti\bm-sd\estivo\codeg\copiaLibreriaGenerale.pas | C:\DOCUMENTI\bmsistemi\drivep\prjs\cpi win clima\Versione_10\CARICHI\calcoli\estivo\copiaLibreriaGenerale.pas | C:\DOCUMENTI\bmsistemi\drivep\prjs\cpi win clima\Versione_10\CARICHI\calcoli\estivo13\copiaLibreriaGenerale.pas | C:\DOCUMENTI\bmsistemi\drivep\prjs\cpi win clima\Versione_10 allineamento con emanuela\CARICHI\calcoli\estivo\copiaLibreriaGenerale.pas | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10\allineamento emanuela\CodiciEstivo\Versione_10\CARICHI\calcoli\estivo\copiaLibreriaGenerale.pas | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 nuova\allineamento emanuela\CodiciEstivo\Versione_10\CARICHI\calcoli\estivo\copiaLibreriaGenerale.pas | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 nuova\CARICHI\calcoli\estivo\copiaLibreriaGenerale.pas | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 ripristinata\allineamento emanuela\CodiciEstivo\Versione_10\CARICHI\calcoli\estivo\copiaLibreriaGenerale.pas | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 ripristinata\CARICHI\calcoli\estivo\copiaLibreriaGenerale.pas",
"CarichiTermici","defuti","1","Ambigua: piu copie omonime","8","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\DEFUTI.pas | C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\UTILS\DEFUTI.PAS | C:\DOCUMENTI\bmsistemi\drivep\prjs\cpi win clima\Versione_10\Tubi\oldTubi\CONVERTI\DEFUTI.PAS | C:\DOCUMENTI\bmsistemi\drivep\prjs\cpi win clima\Versione_10\Tubi\oldTubi\grafo\GTUBI\DEFUTI.PAS | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 nuova\Tubi\oldTubi\CONVERTI\DEFUTI.PAS | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 nuova\Tubi\oldTubi\grafo\GTUBI\DEFUTI.PAS | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 ripristinata\Tubi\oldTubi\CONVERTI\DEFUTI.PAS | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 ripristinata\Tubi\oldTubi\grafo\GTUBI\DEFUTI.PAS",
"CarichiTermici","Diagramma","2","Ambigua: piu copie omonime","18","C:\DOCUMENTI\bmsistemi\drivep\prjs\cpi win clima\Versione_10\CARICHI\calcoli\estivo\Diagramma.pas | C:\DOCUMENTI\bmsistemi\drivep\prjs\cpi win clima\Versione_10\CARICHI\calcoli\estivo\Forms_12\Diagramma.pas | C:\DOCUMENTI\bmsistemi\drivep\prjs\cpi win clima\Versione_10\CARICHI\calcoli\estivo13\Diagramma.pas | C:\DOCUMENTI\bmsistemi\drivep\prjs\cpi win clima\Versione_10\CARICHI\calcoli\estivo13\Forms_12\Diagramma.pas | C:\DOCUMENTI\bmsistemi\drivep\prjs\cpi win clima\Versione_10 allineamento con emanuela\CARICHI\calcoli\estivo\Diagramma.pas | C:\DOCUMENTI\bmsistemi\drivep\prjs\cpi win clima\Versione_10 allineamento con emanuela\CARICHI\calcoli\estivo\Forms_12\Diagramma.pas | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10\allineamento emanuela\CodiciEstivo\Versione_10\CARICHI\calcoli\estivo\Diagramma.pas | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10\allineamento emanuela\CodiciEstivo\Versione_10\CARICHI\calcoli\estivo\Forms_12\Diagramma.pas | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10\CARICHI\calcoli\estivo\Diagramma.pas | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10\CARICHI\calcoli\estivo\Forms_12\Diagramma.pas | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 nuova\allineamento emanuela\CodiciEstivo\Versione_10\CARICHI\calcoli\estivo\Diagramma.pas | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 nuova\allineamento emanuela\CodiciEstivo\Versione_10\CARICHI\calcoli\estivo\Forms_12\Diagramma.pas | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 nuova\CARICHI\calcoli\estivo\Diagramma.pas | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 nuova\CARICHI\calcoli\estivo\Forms_12\Diagramma.pas | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 ripristinata\allineamento emanuela\CodiciEstivo\Versione_10\CARICHI\calcoli\estivo\Diagramma.pas | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 ripristinata\allineamento emanuela\CodiciEstivo\Versione_10\CARICHI\calcoli\estivo\Forms_12\Diagramma.pas | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 ripristinata\CARICHI\calcoli\estivo\Diagramma.pas | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 ripristinata\CARICHI\calcoli\estivo\Forms_12\Diagramma.pas","Diagramma.pas"
