"Sottosistema","Unita","Riferimenti","Classificazione","CandidatiTrovati","PercorsiCandidati","PercorsoEsplicitoEsempio"
"CanaliAria","GLBehaviours","1","Ambigua: piu copie omonime","3","C:\DOCUMENTI\sd\sorgenti\bm-sd\GLScene\Source\GLBehaviours.pas | C:\DOCUMENTI\sd\sorgenti\bm-sd\glscene 1.1 marzo 2011\Source\GLBehaviours.pas | C:\DOCUMENTI\sd\sorgenti\bm-sd\glscene2007\Source\GLBehaviours.pas",
"CanaliAria","GLCadencer","1","Ambigua: piu copie omonime","3","C:\DOCUMENTI\sd\sorgenti\bm-sd\GLScene\Source\GLCadencer.pas | C:\DOCUMENTI\sd\sorgenti\bm-sd\glscene 1.1 marzo 2011\Source\GLCadencer.pas | C:\DOCUMENTI\sd\sorgenti\bm-sd\glscene2007\Source\GLCadencer.pas",
"CanaliAria","glextrusion","1","Ambigua: piu copie omonime","3","C:\DOCUMENTI\sd\sorgenti\bm-sd\GLScene\Source\GLExtrusion.pas | C:\DOCUMENTI\sd\sorgenti\bm-sd\glscene 1.1 marzo 2011\Source\GLExtrusion.pas | C:\DOCUMENTI\sd\sorgenti\bm-sd\glscene2007\Source\GLExtrusion.pas",
"CanaliAria","GLMisc","2","Ambigua: piu copie omonime","2","C:\DOCUMENTI\sd\sorgenti\bm-sd\GLScene\Source\GLMisc.pas | C:\DOCUMENTI\sd\sorgenti\bm-sd\glscene2007\Source\GLMisc.pas",
"CanaliAria","glmovement","1","Ambigua: piu copie omonime","3","C:\DOCUMENTI\sd\sorgenti\bm-sd\GLScene\Source\GLMovement.pas | C:\DOCUMENTI\sd\sorgenti\bm-sd\glscene 1.1 marzo 2011\Source\GLMovement.pas | C:\DOCUMENTI\sd\sorgenti\bm-sd\glscene2007\Source\GLMovement.pas",
"CanaliAria","GLObjects","2","Ambigua: piu copie omonime","3","C:\DOCUMENTI\sd\sorgenti\bm-sd\GLScene\Source\GLObjects.pas | C:\DOCUMENTI\sd\sorgenti\bm-sd\glscene 1.1 marzo 2011\Source\GLObjects.pas | C:\DOCUMENTI\sd\sorgenti\bm-sd\glscene2007\Source\GLObjects.pas",
"CanaliAria","GLParticles","1","Ambigua: piu copie omonime","3","C:\DOCUMENTI\sd\sorgenti\bm-sd\GLScene\Source\GLParticles.pas | C:\DOCUMENTI\sd\sorgenti\bm-sd\glscene 1.1 marzo 2011\Source\GLParticles.pas | C:\DOCUMENTI\sd\sorgenti\bm-sd\glscene2007\Source\GLParticles.pas",
"CanaliAria","GLScene","2","Ambigua: piu copie omonime","3","C:\DOCUMENTI\sd\sorgenti\bm-sd\GLScene\Source\GLScene.pas | C:\DOCUMENTI\sd\sorgenti\bm-sd\glscene 1.1 marzo 2011\Source\GLScene.pas | C:\DOCUMENTI\sd\sorgenti\bm-sd\glscene2007\Source\GLScene.pas",
"CanaliAria","GLSkydome","1","Ambigua: piu copie omonime","3","C:\DOCUMENTI\sd\sorgenti\bm-sd\GLScene\Source\GLSkydome.pas | C:\DOCUMENTI\sd\sorgenti\bm-sd\glscene 1.1 marzo 2011\Source\GLSkydome.pas | C:\DOCUMENTI\sd\sorgenti\bm-sd\glscene2007\Source\GLSkydome.pas",
"CanaliAria","GLSpaceText","1","Ambigua: piu copie omonime","3","C:\DOCUMENTI\sd\sorgenti\bm-sd\GLScene\Source\GLSpaceText.pas | C:\DOCUMENTI\sd\sorgenti\bm-sd\glscene 1.1 marzo 2011\Source\GLSpaceText.pas | C:\DOCUMENTI\sd\sorgenti\bm-sd\glscene2007\Source\GLSpaceText.pas",
