"Sottosistema","Sorgente","Unita","PercorsoEsplicito"
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\UTILS\UTI_DLF.PAS","classes",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\UTILS\UVIDEO.PAS","Classes",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\UTILS\UVKEY.PAS","Classes",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\componenti\kbmmem\bdenew\DbTables.pas","Classes",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\3dCAD\Uoggetti.pas","ComCtrls",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\formpezzi.pas","ComCtrls",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\pezzi3d\U3dsd.pas","ComCtrls",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\UTILS\PRNTESTO.PAS","commdlg",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\3dCAD\Uoggetti.pas","Controls",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\formpezzi.pas","Controls",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\INPGRAF\DFM\INGLESE\MAINEDIT.PAS","Controls",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\INPGRAF\MAINEDIT.PAS","Controls",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\INPGRAF\UPROVA.PAS","Controls",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\INPGRAF\Uprovadim.pas","Controls",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\INPGRAF\UVPEZZI.PAS","Controls",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\MAIN.PAS","Controls",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\pezzi3d\U3dsd.pas","Controls",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\Ucompiladcu.pas","Controls",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\UFDaticalc.pas","Controls",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\UProvacanali.pas","Controls",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\UTILS\FINS.PAS","Controls",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\UTILS\MAIN.PAS","Controls",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\UTILS\MAINST.PAS","Controls",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\UTILS\MC4EDIT.PAS","Controls",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\UTILS\MESSWIN.PAS","Controls",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\UTILS\OLDST.PAS","Controls",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\UTILS\PRDLL.PAS","Controls",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\UTILS\PROTOTIP.PAS","Controls",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\UTILS\TRMAIN.PAS","Controls",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\UTILS\UCEDIFIC.PAS","Controls",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\UTILS\UFROM.PAS","Controls",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\UTILS\ULDATI10.PAS","Controls",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\UTILS\UMC4F.PAS","Controls",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\UTILS\UREC.PAS","Controls",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\UTILS\UTI_DLF.PAS","controls",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\UTILS\UVIDEO.PAS","Controls",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\UTILS\UVKEY.PAS","Controls",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\CalcoloCanali.pas","Copialibreriagenerale",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\dimens.pas","copialibreriagenerale",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\IncludiTabelle.pas","copialibreriagenerale",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\init_cca.pas","Copialibreriagenerale",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\U_cvcan.pas","copialibreriagenerale",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\INPGRAF\DFM\INGLESE\MAINEDIT.PAS","DB",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\INPGRAF\MAINEDIT.PAS","DB",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\INPGRAF\UVPEZZI.PAS","DB",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\ren Copialibreriagenerale.pas","DB",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\UCalcolareti.pas","db",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\componenti\kbmmem\bdenew\DbTables.pas","DB",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\estivo\copiaLibreriaGenerale.pas","DB",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\INPGRAF\DFM\INGLESE\MAINEDIT.PAS","DBCtrls",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\INPGRAF\MAINEDIT.PAS","DBCtrls",
