"GruppoContenuto","FileRaccolta","FileOriginale","Dimensione","DataOriginale","SHA256"
"2","origine\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 ripristinata\3D\GENERATI\climaenergia\base.dat","C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 ripristinata\3D\GENERATI\climaenergia\base.dat","79449","2011-05-30 16:06:40","280953C91D6561E69E310B984413C0E528418375CBE4A1C7D4139C38E1CAE189"
"16","origine\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 ripristinata\3D\GENERATI\salvataggio\base.dat","C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 ripristinata\3D\GENERATI\salvataggio\base.dat","65024","2007-06-07 10:02:04","C24AFA4BB274A779DDC67DD4EF734D69EC3613B37794EC6BE1EF4CB6AE64BCDF"
"17","origine\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 ripristinata\AggiornamentiV13\Carichi\database\GENERATI\base.dat","C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 ripristinata\AggiornamentiV13\Carichi\database\GENERATI\base.dat","79218","2010-09-10 09:29:52","C7E2CA8DB12C4B72BA5135A087F9857E1A81017BDC2C64B1AB646BC355981BC1"
"23","origine\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 ripristinata\CARICHI\database\GENERATI\base.dat","C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 ripristinata\CARICHI\database\GENERATI\base.dat","55097","2006-02-08 16:20:30","E8EE62C5CF3173297FD40C9DC59CCB4F00058E270DF8207A04C1BE0BA8F2A52E"
"12","origine\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 ripristinata\Copia di 3D\GENERATI\base.dat","C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 ripristinata\Copia di 3D\GENERATI\base.dat","63984","2007-04-14 14:36:16","7AC24A7701E250401EB5ED5AB178699BBA1CAF00F65C8A05FC3BFE57E98335B0"
"20","origine\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 ripristinata\progetto test con multitabelle\GENERATI\base.dat","C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 ripristinata\progetto test con multitabelle\GENERATI\base.dat","5773","2007-03-22 08:38:00","DDB4850F3BDBA3ADD9F2E7D16958F45836C2FF9D754DE1DF0959997DBB4D854A"
"10","origine\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 ripristinata\Tubi\database generati\Generati\base.dat","C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 ripristinata\Tubi\database generati\Generati\base.dat","6979","2007-04-14 14:01:48","5D65EF41A108541E5F6696237E2B64FD16B718BEFF18532AB60DFD0392D65591"
"25","origine\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10\3D\base.dat","C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10\3D\base.dat","85382","2009-10-26 08:41:00","FD111884C065A1FFA7EBBECD6D7495F481BCC3A96DE002138BEAC7A415855069"
"14","origine\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10\3D\GENERATI vecchio\base.dat","C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10\3D\GENERATI vecchio\base.dat","97273","2010-10-12 13:36:46","B1958A26120E1D47D6A2E936A7A4CFD4004B0359FF5165EDCCE05BE6C8B5BA07"
"18","origine\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10\3D\GENERATI vecchio\climacad\base.dat","C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10\3D\GENERATI vecchio\climacad\base.dat","93935","2010-05-12 09:24:02","CC0BA366EC1C03065F228BACF7D43B2D020DFC62FE6979A81E4D0B42BDD04197"
"9","origine\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10\3D\GENERATI vecchio\climaenergia\base.dat","C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10\3D\GENERATI vecchio\climaenergia\base.dat","79285","2010-10-11 15:55:32","545E8C631725E03C640DE5693F2F1D795798EC6B555A3AF8E254C9EB5D594166"
"16","origine\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10\3D\GENERATI vecchio\salvataggio\base.dat","C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10\3D\GENERATI vecchio\salvataggio\base.dat","65024","2007-06-07 10:02:04","C24AFA4BB274A779DDC67DD4EF734D69EC3613B37794EC6BE1EF4CB6AE64BCDF"
"13","origine\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10\3D\GENERATI\base.dat","C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10\3D\GENERATI\base.dat","99222","2012-03-29 13:54:32","A6FD9C6E2727456EBCCCC549576F59C7CC37DA4CDFA409F9BEAD1F3EDCF38775"
"19","origine\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10\3D\GENERATI\climacad\base.dat","C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10\3D\GENERATI\climacad\base.dat","94988","2012-03-29 13:53:56","D3655E2A0D18C740424C40D24DC97CA9F09F8F461A3FA560C16C7484F79A9864"
"8","origine\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10\3D\GENERATI\climaenergia\base.dat","C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10\3D\GENERATI\climaenergia\base.dat","80766","2012-01-25 11:33:36","4CF8E621B53723AC8AA61407F750FB5B149D85F8AC0FCCD45446E09AC2DAC93C"
"16","origine\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10\3D\GENERATI\salvataggio\base.dat","C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10\3D\GENERATI\salvataggio\base.dat","65024","2007-06-07 10:02:04","C24AFA4BB274A779DDC67DD4EF734D69EC3613B37794EC6BE1EF4CB6AE64BCDF"
"17","origine\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10\AggiornamentiV13\Carichi\database\GENERATI\base.dat","C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10\AggiornamentiV13\Carichi\database\GENERATI\base.dat","79218","2010-09-10 09:29:52","C7E2CA8DB12C4B72BA5135A087F9857E1A81017BDC2C64B1AB646BC355981BC1"
"23","origine\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10\CARICHI\database\GENERATI\base.dat","C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10\CARICHI\database\GENERATI\base.dat","55097","2006-02-08 16:20:30","E8EE62C5CF3173297FD40C9DC59CCB4F00058E270DF8207A04C1BE0BA8F2A52E"
"12","origine\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10\Copia di 3D\GENERATI\base.dat","C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10\Copia di 3D\GENERATI\base.dat","63984","2007-04-14 14:36:16","7AC24A7701E250401EB5ED5AB178699BBA1CAF00F65C8A05FC3BFE57E98335B0"
"20","origine\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10\progetto test con multitabelle\GENERATI\base.dat","C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10\progetto test con multitabelle\GENERATI\base.dat","5773","2007-03-22 08:38:00","DDB4850F3BDBA3ADD9F2E7D16958F45836C2FF9D754DE1DF0959997DBB4D854A"
"5","origine\sd\sorgenti\bm-sd\GENERA\base.dat","C:\DOCUMENTI\sd\sorgenti\bm-sd\GENERA\base.dat","1816","2002-11-25 15:27:16","35257EDC659256E6CC7DC1EAD2AD50A82D11C3237B257BEAAB4A149FC5F30BB7"
"15","origine\sd\sorgenti\bm-sd\GENERA\gestione\generati\Base.dat","C:\DOCUMENTI\sd\sorgenti\bm-sd\GENERA\gestione\generati\Base.dat","1112","2008-05-25 13:53:08","B3D9978AAAFA18CFFC6420796A815C61FAD71FA6C2016F38C7492EE0DA76B13E"
"5","origine\sd\sorgenti\bm-sd\GENERA\modifica kbmtable\base.dat","C:\DOCUMENTI\sd\sorgenti\bm-sd\GENERA\modifica kbmtable\base.dat","1816","2002-11-25 16:27:16","35257EDC659256E6CC7DC1EAD2AD50A82D11C3237B257BEAAB4A149FC5F30BB7"
"24","origine\sd\sorgenti\bm-sd\GENERA\Rebuli modificato CAD\base.dat","C:\DOCUMENTI\sd\sorgenti\bm-sd\GENERA\Rebuli modificato CAD\base.dat","3099","2002-12-17 11:05:20","EA388C2593AEA5AEAC69C5C92AB8DA7C717056B2084BD472C0FCC2C7F5D73E38"
"3","origine\sd\sorgenti\bm-sd\GENERA\Rebuli modificato CAD\compnuccio vecchio mandato lazzerini\base.dat","C:\DOCUMENTI\sd\sorgenti\bm-sd\GENERA\Rebuli modificato CAD\compnuccio vecchio mandato lazzerini\base.dat","1155","2002-12-31 11:08:00","2D22A8D5B7D87361C476779FE5A47614F6815F045A12F57E9F08335A5F555B23"
"11","origine\sd\sorgenti\bm-sd\GENERA\Rebuli modificato CAD\compnuccio vecchio mandato lazzerini\curve\base.dat","C:\DOCUMENTI\sd\sorgenti\bm-sd\GENERA\Rebuli modificato CAD\compnuccio vecchio mandato lazzerini\curve\base.dat","116","2003-01-03 10:36:04","72B1B46A1CFE5D47DBE609960F7F46A5635C2F1AEC1AEFCAD46CC4503298DC2D"
"21","origine\sd\sorgenti\bm-sd\gestioneclienti\generati\base.dat","C:\DOCUMENTI\sd\sorgenti\bm-sd\gestioneclienti\generati\base.dat","680","2012-02-11 16:33:06","E3CAD7D2CEACE7B43A600AAA542E81E97B87C4F22C4A2CD1D6F00698418C813D"
"21","origine\sd\sorgenti\bm-sd\gestioneclienti\generati\base\base.dat","C:\DOCUMENTI\sd\sorgenti\bm-sd\gestioneclienti\generati\base\base.dat","680","2012-02-11 16:32:40","E3CAD7D2CEACE7B43A600AAA542E81E97B87C4F22C4A2CD1D6F00698418C813D"
"7","origine\sd\sorgenti\bm-sd\Sun-Trace\generati\Base.dat","C:\DOCUMENTI\sd\sorgenti\bm-sd\Sun-Trace\generati\Base.dat","1287","2006-11-28 13:24:06","41E9535107B2F5EC512CF4834B1B0B33A85B4811ADDD97ADF069724D23B09E0D"
